log_id,timestamp,ip,country,method,endpoint,status_code,response_size,user_agent,referer,is_bot
8fbb23ba-640b-4be2-ad4b-d9661cae4c20,2026-05-13T00:00:00.535000,192.168.2.107,FR,GET,/api/products,200,4948,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0,https://google.com,False
bf360d88-7bb0-4768-bd04-1a58c0d7b71c,2026-05-13T00:00:00.671000,172.16.0.71,DE,GET,/checkout,200,14202,Mozilla/5.0 (iPhone; CPU iPhone OS 17_1) Mobile/15E148,https://github.com,False
e70067ac-660d-4475-82ff-43dc8fe28ef3,2026-05-13T00:01:00.765000,192.168.1.80,US,GET,/search,302,8514,Mozilla/5.0 (iPhone; CPU iPhone OS 17_1) Mobile/15E148,https://github.com,False
cfdb698e-1c8f-4e0e-b4bc-2182fdd77f82,2026-05-13T00:01:00.470000,172.16.0.60,DE,POST,/cart,404,859,Mozilla/5.0 (compatible; Googlebot/2.1),https://google.com,True
fa9c2f3c-1480-4512-9f6f-5314065372ba,2026-05-13T00:02:00.387000,10.0.0.192,GB,GET,/cart,200,18838,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1,-,False
7c279a77-3a1e-4241-8676-d9f8ad8b5e36,2026-05-13T00:03:00.586000,10.1.0.126,JP,GET,/home,200,8916,Mozilla/5.0 (compatible; Googlebot/2.1),https://google.com,True
a677b4b9-541e-42f4-9687-573286fad521,2026-05-13T00:04:00.775000,10.1.0.60,JP,GET,/login,404,983,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1,-,False
cfb3b166-4f5c-45af-9be2-939ff1e76699,2026-05-13T00:04:00.872000,192.168.3.155,CA,GET,/checkout,400,1653,Mozilla/5.0 (Linux; Android 13) Chrome/120.0 Mobile,https://github.com,False
c670965a-73fb-4b31-a91e-8ca256bfc4d5,2026-05-13T00:05:00.432000,192.168.2.146,FR,GET,/api/users,200,32674,Mozilla/5.0 (Linux; Android 13) Chrome/120.0 Mobile,https://github.com,False
be19c3f0-38a8-432c-aaa5-32556c074008,2026-05-13T00:06:00.980000,192.168.2.86,FR,POST,/login,200,40303,Mozilla/5.0 (Linux; Android 13) Chrome/120.0 Mobile,-,False
3942da19-7330-46ea-b935-1a4671285567,2026-05-13T00:07:00.511000,10.0.0.17,GB,GET,/api/users,200,8450,Mozilla/5.0 (Linux; Android 13) Chrome/120.0 Mobile,-,False
88985ccf-3251-4bc0-ac31-dae7c8a8a1ef,2026-05-13T00:08:00.768000,10.1.0.57,JP,GET,/checkout,200,22846,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0,https://github.com,False
088eb0f2-1317-437c-b2f1-06eaaf8d2635,2026-05-13T00:09:00.978000,172.16.0.2,DE,GET,/products?page=4,200,18860,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1,https://github.com,False
